user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings																																																																																																															
bin.230	d__Bacteria	p__Bacteroidota	c__Ignavibacteria	o__Ignavibacteriales	f__Melioribacteraceae	g__XYB12-FULL-38-5	s__XYB12-FULL-38-5 sp001803165	GCA_001803165.1	95.0	d__Bacteria	p__Bacteroidota	c__Ignavibacteria	o__Ignavibacteriales	f__Melioribacteraceae	g__XYB12-FULL-38-5	s__XYB12-FULL-38-5 sp001803165	96.25	0.9	GCA_001803165.1	d__Bacteria	p__Bacteroidota	c__Ignavibacteria	o__Ignavibacteriales	f__Melioribacteraceae	g__XYB12-FULL-38-5	s__XYB12-FULL-38-5 sp001803165	96.25	0.9	d__Bacteria	p__Bacteroidota	c__Ignavibacteria	o__Ignavibacteriales	f__Melioribacteraceae	g__	s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	98.35	11	N/A	N/A																																																																																							
bin.184	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__UBA8932	g__UBA8932	s__UBA8932 sp002427685	GCA_002427685.1	95.0	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__UBA8932	g__UBA8932	s__UBA8932 sp002427685	99.46	0.97	GCA_002427685.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__UBA8932	g__UBA8932	s__UBA8932 sp002427685	99.46	0.97	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__UBA8932	g__UBA8932	s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002441395.1, s__UBA8932 sp002441395, 95.0, 78.42, 0.28	 GCA_002425765.1, s__UBA8932 sp002425765, 95.0, 78.41, 0.24	 GCA_002435985.1, s__UBA8932 sp002435985, 95.0, 77.69, 0.25	91.23	11	N/A	N/A																																																																																					
bin.91	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA12077	g__UBA12077	s__UBA12077 sp001768235	GCA_001768235.1	95.0	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA12077	g__UBA12077	s__UBA12077 sp001768235	97.64	0.91	GCA_001768235.1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA12077	g__UBA12077	s__UBA12077 sp001768235	97.64	0.91	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA12077	g__UBA12077	s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_001769005.1, s__UBA12077 sp001769005, 95.0, 80.46, 0.52	 GCA_001768565.1, s__UBA12077 sp001768565, 95.0, 78.2, 0.34	 GCA_003446015.1, s__UBA12077 sp003446015, 95.0, 77.05, 0.18	 GCA_002869305.1, s__UBA12077 sp002869305, 95.0, 76.57, 0.09	95.52	11	N/A	N/A																																																																																				
bin.310	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Salinivirgaceae	g__GWE2-40-63	s__GWE2-40-63 sp003512955	GCA_003512955.1	95.0	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Salinivirgaceae	g__GWE2-40-63	s__GWE2-40-63 sp003512955	96.93	0.92	GCA_003512955.1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Salinivirgaceae	g__GWE2-40-63	s__GWE2-40-63 sp003512955	96.93	0.92	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Salinivirgaceae	g__GWE2-40-63	s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002840905.1, s__GWE2-40-63 sp002840905, 95.0, 76.52, 0.13	56.59	11	N/A	N/A																																																																																							
bin.319	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__SG8-4	f__SG8-4	g__GWC2-45-44	s__GWC2-45-44 sp001824555	GCA_001824555.1	95.0	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__SG8-4	f__SG8-4	g__GWC2-45-44	s__GWC2-45-44 sp001824555	95.81	0.81	GCA_001824555.1	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__SG8-4	f__SG8-4	g__GWC2-45-44	s__GWC2-45-44 sp001824555	95.81	0.81	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__SG8-4	f__SG8-4	g__	s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	63.12	11	N/A	N/A																																																																																							
bin.112	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__	g__	s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__	g__	s__	Placement	taxonomic novelty determined using RED	N/A	62.62	11	0.739787937252	N/A																																																																																																			
bin.160	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_B	s__	N/A	N/A	N/A	N/A	N/A	GCF_000016505.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_B	s__Clostridium_B kluyveri	86.8	0.81	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_B	s__	Placement	taxonomic classification fully defined by topology	GCA_003497125.1, s__Clostridium_B sp003497125, 95.0, 79.2, 0.18	 GCF_000143685.1, s__Clostridium_B ljungdahlii, 95.0, 78.14, 0.34	 GCF_001636845.1, s__Clostridium_B ljungdahlii_A, 95.0, 78.1, 0.32	 GCF_001675165.1, s__Clostridium_B ragsdalei, 95.0, 78.01, 0.33	 GCF_002995845.1, s__Clostridium_B luticellarii, 95.0, 77.73, 0.26	 GCF_000359585.1, s__Clostridium_B tyrobutyricum, 95.0, 77.13, 0.19	79.96	11	0.980305106102	N/A																																																																																								
bin.166	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_B	s__	N/A	N/A	N/A	N/A	N/A	GCF_000016505.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_B	s__Clostridium_B kluyveri	82.21	0.35	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_B	s__	Placement	taxonomic classification fully defined by topology	GCF_001675165.1, s__Clostridium_B ragsdalei, 95.0, 79.04, 0.2	 GCF_000143685.1, s__Clostridium_B ljungdahlii, 95.0, 79.02, 0.22	 GCF_001636845.1, s__Clostridium_B ljungdahlii_A, 95.0, 78.92, 0.21	 GCF_002995845.1, s__Clostridium_B luticellarii, 95.0, 78.15, 0.15	 GCA_003497125.1, s__Clostridium_B sp003497125, 95.0, 77.57, 0.1	 GCF_000359585.1, s__Clostridium_B tyrobutyricum, 95.0, 77.22, 0.1	62.4	11	0.947852418697	Genome has more than 30.8% of markers with multiple hits																																																																																								
bin.95	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__	g__	s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__	g__	s__	Placement	taxonomic novelty determined using RED	N/A	94.9	11	0.69001567128	N/A																																																																																																			
bin.162	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__	f__	g__	s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__	f__	g__	s__	Placement	taxonomic classification fully defined by topology	N/A	98.53	11	0.566412217893	N/A																																																																																																			
bin.442	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__	f__	g__	s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__	f__	g__	s__	Placement	taxonomic novelty determined using RED	N/A	98.53	11	0.512924377797	N/A																																																																																																			
