Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
maxbinned_coassembly.fa.001	c__Betaproteobacteria (UID3959)	235	419	211	30	354	33	2	0	0	93.35	6.02	82.05
maxbinned_coassembly.fa.002	k__Bacteria (UID1452)	924	151	101	53	96	2	0	0	0	54.37	1.08	100.00
maxbinned_coassembly.fa.003	p__Euryarchaeota (UID49)	95	228	153	4	222	2	0	0	0	98.37	0.82	50.00
maxbinned_coassembly.fa.004	k__Archaea (UID2)	207	149	107	6	78	61	3	0	1	95.48	40.67	0.00
maxbinned_coassembly.fa.005	k__Bacteria (UID2495)	2993	141	87	2	139	0	0	0	0	97.70	0.00	0.00
maxbinned_coassembly.fa.006	k__Archaea (UID2)	207	149	107	1	117	30	1	0	0	99.69	19.60	15.15
maxbinned_coassembly.fa.007	k__Bacteria (UID2570)	433	273	183	9	262	2	0	0	0	95.36	0.82	0.00
maxbinned_coassembly.fa.008	k__Bacteria (UID2495)	2993	147	91	1	142	4	0	0	0	98.90	4.40	0.00
maxbinned_coassembly.fa.009	k__Bacteria (UID1452)	924	151	101	52	98	1	0	0	0	55.36	0.09	100.00
maxbinned_coassembly.fa.010	c__Betaproteobacteria (UID3959)	235	419	211	39	300	74	6	0	0	92.82	20.61	15.22
maxbinned_coassembly.fa.011	f__Rhodocyclaceae (UID3972)	30	540	241	77	422	39	2	0	0	86.19	8.17	11.11
maxbinned_coassembly.fa.012	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
maxbinned_coassembly.fa.013	k__Bacteria (UID2495)	2993	147	91	1	146	0	0	0	0	98.90	0.00	0.00
maxbinned_coassembly.fa.014	k__Bacteria (UID2495)	2993	143	89	4	135	3	1	0	0	96.07	5.06	0.00
maxbinned_coassembly.fa.015	k__Bacteria (UID203)	5449	104	58	15	88	1	0	0	0	77.43	1.72	0.00
maxbinned_coassembly.fa.016	p__Euryarchaeota (UID49)	95	228	153	1	222	4	1	0	0	99.67	3.92	14.29
maxbinned_coassembly.fa.017	k__Bacteria (UID1452)	924	163	110	13	142	8	0	0	0	90.00	7.27	25.00
maxbinned_coassembly.fa.018	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
maxbinned_coassembly.fa.019	c__Deltaproteobacteria (UID3217)	62	280	168	202	70	8	0	0	0	21.97	0.18	0.00
maxbinned_coassembly.fa.020	k__Bacteria (UID203)	5449	103	57	66	36	1	0	0	0	52.63	1.75	100.00
maxbinned_coassembly.fa.021	k__Archaea (UID2)	207	149	107	11	120	18	0	0	0	93.61	4.13	61.11
maxbinned_coassembly.fa.022	k__Bacteria (UID203)	5449	103	57	97	6	0	0	0	0	2.55	0.00	0.00
maxbinned_coassembly.fa.023	k__Bacteria (UID2495)	2993	147	91	4	139	3	1	0	0	96.64	5.49	16.67
maxbinned_coassembly.fa.024	k__Bacteria (UID1452)	924	151	101	48	103	0	0	0	0	58.82	0.00	0.00
maxbinned_coassembly.fa.025	k__Bacteria (UID203)	5449	104	58	7	46	45	6	0	0	87.93	46.76	1.59
maxbinned_coassembly.fa.026	k__Bacteria (UID203)	5449	103	57	91	6	5	1	0	0	21.05	12.28	62.50
maxbinned_coassembly.fa.027	p__Euryarchaeota (UID49)	95	228	153	26	183	19	0	0	0	96.41	6.91	57.89
maxbinned_coassembly.fa.028	k__Archaea (UID2)	207	149	107	141	8	0	0	0	0	6.54	0.00	0.00
maxbinned_coassembly.fa.029	k__Bacteria (UID3187)	2258	190	119	77	102	11	0	0	0	60.46	4.81	9.09
maxbinned_coassembly.fa.030	k__Bacteria (UID1452)	924	151	101	63	86	2	0	0	0	49.22	1.98	100.00
maxbinned_coassembly.fa.031	k__Archaea (UID2)	207	149	107	128	14	7	0	0	0	10.28	3.04	71.43
maxbinned_coassembly.fa.032	p__Euryarchaeota (UID3)	148	188	125	27	76	44	35	6	0	89.60	82.23	41.62
maxbinned_coassembly.fa.033	k__Bacteria (UID203)	5449	104	58	81	19	3	1	0	0	37.07	8.62	0.00
maxbinned_coassembly.fa.034	c__Deltaproteobacteria (UID3217)	62	280	168	176	103	1	0	0	0	28.88	0.60	0.00
maxbinned_coassembly.fa.035	k__Bacteria (UID203)	5449	103	57	97	6	0	0	0	0	2.55	0.00	0.00
maxbinned_coassembly.fa.036	k__Bacteria (UID203)	5449	104	58	27	51	19	7	0	0	67.29	18.93	7.50
maxbinned_coassembly.fa.037	k__Bacteria (UID203)	5449	104	58	9	67	24	4	0	0	94.00	28.76	50.00
maxbinned_coassembly.fa.038	k__Bacteria (UID1452)	924	163	110	9	133	19	2	0	0	93.64	17.20	12.00
maxbinned_coassembly.fa.039	k__Bacteria (UID2570)	433	270	179	4	244	20	2	0	0	97.77	9.71	7.69
maxbinned_coassembly.fa.040	c__Deltaproteobacteria (UID3217)	62	280	168	11	269	0	0	0	0	98.88	0.00	0.00
maxbinned_coassembly.fa.041	p__Proteobacteria (UID3880)	1495	261	164	139	113	9	0	0	0	45.40	1.65	11.11
maxbinned_coassembly.fa.042	k__Bacteria (UID1452)	924	151	101	17	128	6	0	0	0	84.16	1.87	33.33
maxbinned_coassembly.fa.043	k__Bacteria (UID203)	5449	103	57	74	26	3	0	0	0	42.98	5.26	100.00
maxbinned_coassembly.fa.044	k__Bacteria (UID203)	5449	104	58	5	78	18	3	0	0	91.38	15.76	0.00
maxbinned_coassembly.fa.045	k__Bacteria (UID2570)	433	270	179	17	249	4	0	0	0	92.46	1.96	25.00
maxbinned_coassembly.fa.046	k__Bacteria (UID203)	5449	103	57	98	5	0	0	0	0	1.18	0.00	0.00
maxbinned_coassembly.fa.047	k__Bacteria (UID203)	5449	104	58	17	84	3	0	0	0	74.84	3.45	0.00
