Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
maxbinned_coassembly.fa.001	Bacteria	5449	104	58	7	83	13	1	0	0	96.63	12.85	100.00
maxbinned_coassembly.fa.002	Bacteria	5449	104	58	24	78	2	0	0	0	65.05	1.88	100.00
maxbinned_coassembly.fa.003	Bacteria	5449	104	58	48	54	1	1	0	0	32.10	1.88	25.00
maxbinned_coassembly.fa.004	Bacteria	5449	104	58	1	47	52	3	1	0	98.28	35.86	4.48
maxbinned_coassembly.fa.005	Bacteria	5449	104	58	6	97	1	0	0	0	90.52	1.72	0.00
maxbinned_coassembly.fa.006	Bacteria	5449	104	58	45	41	17	1	0	0	36.41	7.05	30.00
maxbinned_coassembly.fa.007	Bacteria	5449	104	58	1	103	0	0	0	0	98.28	0.00	0.00
maxbinned_coassembly.fa.008	Bacteria	5449	104	58	1	103	0	0	0	0	98.28	0.00	0.00
maxbinned_coassembly.fa.009	Bacteria	5449	104	58	24	79	1	0	0	0	65.05	0.16	100.00
maxbinned_coassembly.fa.010	Bacteria	5449	104	58	14	72	18	0	0	0	94.25	26.02	5.56
maxbinned_coassembly.fa.011	Bacteria	5449	104	58	17	79	8	0	0	0	75.86	2.82	25.00
maxbinned_coassembly.fa.012	Bacteria	5449	104	58	103	1	0	0	0	0	1.72	0.00	0.00
maxbinned_coassembly.fa.013	Bacteria	5449	104	58	0	104	0	0	0	0	100.00	0.00	0.00
maxbinned_coassembly.fa.014	Bacteria	5449	104	58	4	99	1	0	0	0	93.97	1.72	0.00
maxbinned_coassembly.fa.015	Bacteria	5449	104	58	15	88	1	0	0	0	77.43	1.72	0.00
maxbinned_coassembly.fa.016	Bacteria	5449	104	58	46	56	2	0	0	0	35.55	1.02	0.00
maxbinned_coassembly.fa.017	Bacteria	5449	104	58	2	100	2	0	0	0	96.55	3.45	50.00
maxbinned_coassembly.fa.018	Bacteria	5449	104	58	104	0	0	0	0	0	0.00	0.00	0.00
maxbinned_coassembly.fa.019	Bacteria	5449	104	58	69	29	6	0	0	0	15.52	1.50	0.00
maxbinned_coassembly.fa.020	Bacteria	5449	104	58	67	36	1	0	0	0	51.72	1.72	100.00
maxbinned_coassembly.fa.021	Bacteria	5449	104	58	51	34	18	1	0	0	35.47	7.21	42.86
maxbinned_coassembly.fa.022	Bacteria	5449	104	58	98	6	0	0	0	0	2.51	0.00	0.00
maxbinned_coassembly.fa.023	Bacteria	5449	104	58	2	102	0	0	0	0	96.55	0.00	0.00
maxbinned_coassembly.fa.024	Bacteria	5449	104	58	20	84	0	0	0	0	71.94	0.00	0.00
maxbinned_coassembly.fa.025	Bacteria	5449	104	58	7	46	45	6	0	0	87.93	46.76	1.59
maxbinned_coassembly.fa.026	Bacteria	5449	104	58	92	6	5	1	0	0	20.69	12.07	62.50
maxbinned_coassembly.fa.027	Bacteria	5449	104	58	61	32	10	1	0	0	34.06	6.66	30.77
maxbinned_coassembly.fa.028	Bacteria	5449	104	58	102	2	0	0	0	0	3.45	0.00	0.00
maxbinned_coassembly.fa.029	Bacteria	5449	104	58	42	54	8	0	0	0	64.36	6.69	12.50
maxbinned_coassembly.fa.030	Bacteria	5449	104	58	33	70	1	0	0	0	54.86	1.72	100.00
maxbinned_coassembly.fa.031	Bacteria	5449	104	58	89	8	7	0	0	0	3.76	1.10	71.43
maxbinned_coassembly.fa.032	Bacteria	5449	104	58	52	32	7	11	1	1	33.07	26.11	58.93
maxbinned_coassembly.fa.033	Bacteria	5449	104	58	81	19	3	1	0	0	37.07	8.62	0.00
maxbinned_coassembly.fa.034	Bacteria	5449	104	58	57	47	0	0	0	0	30.33	0.00	0.00
maxbinned_coassembly.fa.035	Bacteria	5449	104	58	98	6	0	0	0	0	2.51	0.00	0.00
maxbinned_coassembly.fa.036	Bacteria	5449	104	58	27	51	19	7	0	0	67.29	18.93	7.50
maxbinned_coassembly.fa.037	Bacteria	5449	104	58	9	67	24	4	0	0	94.00	28.76	50.00
maxbinned_coassembly.fa.038	Bacteria	5449	104	58	1	92	10	1	0	0	98.28	11.68	7.69
maxbinned_coassembly.fa.039	Bacteria	5449	104	58	1	93	9	1	0	0	98.28	8.70	8.33
maxbinned_coassembly.fa.040	Bacteria	5449	104	58	14	90	0	0	0	0	93.04	0.00	0.00
maxbinned_coassembly.fa.041	Bacteria	5449	104	58	47	49	8	0	0	0	52.63	5.09	12.50
maxbinned_coassembly.fa.042	Bacteria	5449	104	58	6	92	6	0	0	0	90.52	5.33	33.33
maxbinned_coassembly.fa.043	Bacteria	5449	104	58	75	26	3	0	0	0	42.24	5.17	100.00
maxbinned_coassembly.fa.044	Bacteria	5449	104	58	5	78	18	3	0	0	91.38	15.76	0.00
maxbinned_coassembly.fa.045	Bacteria	5449	104	58	1	101	2	0	0	0	98.28	3.45	50.00
maxbinned_coassembly.fa.046	Bacteria	5449	104	58	99	5	0	0	0	0	1.16	0.00	0.00
maxbinned_coassembly.fa.047	Bacteria	5449	104	58	17	84	3	0	0	0	74.84	3.45	0.00
maxbinned_coassembly.fa.048	Bacteria	5449	104	58	37	37	21	7	2	0	54.39	26.38	0.00
maxbinned_coassembly.fa.049	Bacteria	5449	104	58	24	79	1	0	0	0	89.53	0.86	0.00
maxbinned_coassembly.fa.050	Bacteria	5449	104	58	48	53	3	0	0	0	32.81	2.04	66.67
maxbinned_coassembly.fa.051	Bacteria	5449	104	58	2	97	4	1	0	0	97.41	5.64	0.00
maxbinned_coassembly.fa.052	Bacteria	5449	104	58	32	60	6	5	1	0	75.25	22.13	0.00
maxbinned_coassembly.fa.053	Bacteria	5449	104	58	46	38	19	1	0	0	62.87	25.21	0.00
