Bin Id	# unique markers (of 43)	# multi-copy	Insertion branch UID	Taxonomy (contained)	Taxonomy (sister lineage)	GC	Genome size (Mbp)	Gene count	Coding density	Translation table	# descendant genomes	Lineage: GC mean	Lineage: GC std	Lineage: genome size (Mbp) mean	Lineage: genome size (Mbp) std	Lineage: gene count mean	Lineage: gene count std
maxbinned_coassembly.fa.001	33	5	UID3962	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	o__Hydrogenophilales;f__Hydrogenophilaceae;g__Thiobacillus;s__Thiobacillus_denitrificans	62.5019085888	2.68523	3054	0.908425349039	11	10	53.112641615	7.69457679558	3.1625312	0.333280772542	3037.0	366.434168712
maxbinned_coassembly.fa.002	36	1	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi	41.0941716559	0.988291	1073	0.898457033404	11	8	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
maxbinned_coassembly.fa.003	40	1	UID59	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__Methanosaeta	s__Methanosaeta_concilii	50.885639676	3.406306	3657	0.870421506465	11	2	52.2665447155	1.27873478072	2.453058	0.573587	2342.5	557.5
maxbinned_coassembly.fa.004	1	41	UID59	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__Methanosaeta	s__Methanosaeta_concilii	52.6909817346	5.949843	6774	0.872124693038	11	2	52.2665447155	1.27873478072	2.453058	0.573587	2342.5	557.5
maxbinned_coassembly.fa.005	43	0	UID2535	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae	g__Treponema	52.1198806536	2.725177	2493	0.924585815894	11	33	44.8210271728	5.71870393932	2.85230736364	0.829703588646	2657.39393939	756.636093605
maxbinned_coassembly.fa.006	28	15	UID47	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	s__	36.1137151429	2.670005	2675	0.799769288822	11	2	35.7802100999	0.0484468963696	2.565147	0.018606	2542.0	42.0
maxbinned_coassembly.fa.007	42	0	UID2571	k__Bacteria	p__Ignavibacteriae;c__Ignavibacteria;o__Ignavibacteriales	43.2366506335	3.296074	2739	0.906901665436	11	14	49.3214646142	6.40690458662	2.7543095	0.465463349511	2529.92857143	379.490723449
maxbinned_coassembly.fa.008	41	0	UID2567	k__Bacteria	p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__Gemmatimonas_aurantiaca	72.7790278227	3.116777	2716	0.925336974702	11	437	42.2586454603	6.79030286123	4.14570185126	1.51362052744	3610.01372998	1216.80246458
maxbinned_coassembly.fa.009	36	1	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi	41.1465135199	0.747344	812	0.935950512749	11	8	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
maxbinned_coassembly.fa.010	28	6	UID3962	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	o__Hydrogenophilales;f__Hydrogenophilaceae;g__Thiobacillus;s__Thiobacillus_denitrificans	62.032266386	2.980997	3414	0.920391734712	11	10	53.112641615	7.69457679558	3.1625312	0.333280772542	3037.0	366.434168712
maxbinned_coassembly.fa.011	31	5	UID3985	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae	g__Methyloversatilis;s__Methyloversatilis_universalis	65.733548052	3.290507	3252	0.927036775792	11	17	65.8987056511	2.46835292806	4.46613729412	0.436763259742	4156.29411765	431.105932758
maxbinned_coassembly.fa.012	0	0	NA	NA	unresolved	52.6198691627	0.128098	107	0.887687551718	11	NA	NA	NA	NA	NA	NA	NA
maxbinned_coassembly.fa.013	42	0	UID2567	k__Bacteria	p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__Gemmatimonas_aurantiaca	55.2491527589	2.645646	2253	0.902353527267	11	437	42.2586454603	6.79030286123	4.14570185126	1.51362052744	3610.01372998	1216.80246458
maxbinned_coassembly.fa.014	43	0	UID2496	k__Bacteria;p__Spirochaetes;c__Spirochaetia	p__Elusimicrobia;c__Candidatus_Endomicrobium;o__Candidatus_Endomicrobium;f__Candidatus_Endomicrobium;g__Candidatus_Endomicrobium;s__	61.5785739814	4.851746	3893	0.871188021797	11	72	38.9697421605	10.3693638763	2.60865927778	1.034157916	2440.63888889	952.666641963
maxbinned_coassembly.fa.015	38	1	UID1	k__Bacteria (root)	k__Bacteria	41.9476065429	0.776471	797	0.910433229316	11	5656	49.2752660014	13.0081081425	3.76173456931	1.81655134913	3559.91760962	1650.82761538
maxbinned_coassembly.fa.016	43	0	UID59	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__Methanosaeta	s__Methanosaeta_concilii	50.7496502521	4.501099	4908	0.849196385149	11	2	52.2665447155	1.27873478072	2.453058	0.573587	2342.5	557.5
maxbinned_coassembly.fa.017	42	0	UID2310	k__Bacteria;p__Chloroflexi	c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Anaerolinea;s__Anaerolinea_thermophila	55.6512485281	3.318948	3398	0.900954157763	11	2	56.2911854198	2.4415124799	4.335458	0.80308	3708.0	484.0
maxbinned_coassembly.fa.018	0	0	NA	NA	unresolved	50.2008217698	0.281344	333	0.872945575523	11	NA	NA	NA	NA	NA	NA	NA
maxbinned_coassembly.fa.019	17	3	UID3235	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae	g__Desulfotalea;s__Desulfotalea_psychrophila	55.0304328185	0.878821	867	0.871133029365	11	5	54.111367786	6.61115303754	4.4153048	0.796783927483	3887.4	661.542621454
maxbinned_coassembly.fa.020	6	0	UID3235	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae	g__Desulfotalea;s__Desulfotalea_psychrophila	59.6889432102	1.389264	1286	0.861513002568	11	5	54.111367786	6.61115303754	4.4153048	0.796783927483	3887.4	661.542621454
maxbinned_coassembly.fa.021	21	15	UID62	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina	unresolved	40.8140656872	4.772465	4509	0.771408695506	11	3	41.1331478415	1.42914405274	4.907201	0.676124407843	4036.66666667	564.721957151
maxbinned_coassembly.fa.022	5	0	UID3235	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae	g__Desulfotalea;s__Desulfotalea_psychrophila	49.0214347115	0.36063	406	0.849041954358	11	5	54.111367786	6.61115303754	4.4153048	0.796783927483	3887.4	661.542621454
maxbinned_coassembly.fa.023	41	0	UID2566	k__Bacteria	unresolved	41.5152619698	4.038404	3459	0.878346000053	11	525	42.588785261	7.01104947332	3.85675681905	1.76836328516	3363.96571429	1451.8143246
maxbinned_coassembly.fa.024	37	0	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi	37.9452232413	0.871501	910	0.93588418143	11	8	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
maxbinned_coassembly.fa.025	20	23	UID1456	k__Bacteria;p__Actinobacteria;c__Actinobacteria	o__Nitriliruptorales;f__Nitriliruptoraceae;g__Nitriliruptor;s__Nitriliruptor_alkaliphilus	70.5994812995	4.113356	5136	0.920752786776	11	700	64.929963019	6.79727479551	4.49996032	2.15273185806	4178.61857143	1972.13071472
maxbinned_coassembly.fa.026	1	1	UID3235	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae	g__Desulfotalea;s__Desulfotalea_psychrophila	63.8661690742	2.889915	2832	0.899369358614	11	5	54.111367786	6.61115303754	4.4153048	0.796783927483	3887.4	661.542621454
maxbinned_coassembly.fa.027	20	7	UID62	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina	s__Methanosarcina_barkeri	40.5933139221	4.6365	4478	0.74531392214	11	3	41.1331478415	1.42914405274	4.907201	0.676124407843	4036.66666667	564.721957151
maxbinned_coassembly.fa.028	1	0	UID59	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__Methanosaeta	s__Methanosaeta_concilii	50.5765381337	1.061595	1412	0.814913408597	11	2	52.2665447155	1.27873478072	2.453058	0.573587	2342.5	557.5
maxbinned_coassembly.fa.029	24	2	UID3215	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	o__Deferrisoma;f__Deferrisoma;g__Deferrisoma;s__Deferrisoma_camini	62.6401296308	1.813767	2614	0.922402932681	11	84	58.0589820201	8.68953006244	4.57293354762	1.49471208556	4071.72619048	1119.37102185
maxbinned_coassembly.fa.030	37	0	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi	38.7581468595	0.864118	922	0.912057149602	11	8	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
maxbinned_coassembly.fa.031	8	7	UID62	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina	s__Methanosarcina_barkeri	48.9232126413	0.129227	161	0.874987425228	11	3	41.1331478415	1.42914405274	4.907201	0.676124407843	4036.66666667	564.721957151
maxbinned_coassembly.fa.032	27	10	UID45	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	g__Methanobacterium	36.0810941142	5.122098	6302	0.834856927767	11	4	34.3037063116	3.95820982612	2.395491	0.366109545445	2311.0	416.31118169
maxbinned_coassembly.fa.033	2	1	UID4209	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	f__Xanthomonadaceae	73.4508530729	2.953206	4106	0.928419148546	11	60	64.1574943777	5.85228176842	4.0603202	0.945581442528	3698.51666667	783.060778647
maxbinned_coassembly.fa.034	22	0	UID3235	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae	g__Desulfotalea;s__Desulfotalea_psychrophila	53.7339463076	1.253995	1253	0.849134167202	11	5	54.111367786	6.61115303754	4.4153048	0.796783927483	3887.4	661.542621454
maxbinned_coassembly.fa.035	5	0	UID3235	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae	g__Desulfotalea;s__Desulfotalea_psychrophila	48.4271562794	0.125378	125	0.836462537287	11	5	54.111367786	6.61115303754	4.4153048	0.796783927483	3887.4	661.542621454
maxbinned_coassembly.fa.036	22	15	UID3060	k__Bacteria	p__Proteobacteria;c__Epsilonproteobacteria	42.3085725198	1.319612	1756	0.891195290737	11	138	35.5006557556	5.60287773349	1.8351350942	0.324611407432	1912.04347826	344.862162542
maxbinned_coassembly.fa.037	26	13	UID2310	k__Bacteria;p__Chloroflexi	c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Anaerolinea;s__Anaerolinea_thermophila	59.0799061004	6.068185	5945	0.904506207375	11	2	56.2911854198	2.4415124799	4.335458	0.80308	3708.0	484.0
maxbinned_coassembly.fa.038	39	3	UID2310	k__Bacteria;p__Chloroflexi	c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Anaerolinea;s__Anaerolinea_thermophila	54.2600946945	3.491859	3423	0.889496969952	11	2	56.2911854198	2.4415124799	4.335458	0.80308	3708.0	484.0
maxbinned_coassembly.fa.039	38	4	UID2572	k__Bacteria;p__Ignavibacteriae;c__Ignavibacteria;o__Ignavibacteriales	f__Melioribacteraceae;g__Melioribacter;s__Melioribacter_roseus	36.9084787792	4.08113	3864	0.919603639188	11	2	37.6306212631	3.69749696697	3.4797055	0.1792915	3072.5	170.5
maxbinned_coassembly.fa.040	32	0	UID3237	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__Desulfobulbus	s__Desulfobulbus_elongatus	56.436259712	4.084787	3616	0.876956374959	11	2	60.3274424487	1.39986728972	3.906911	0.055042	3486.5	78.5
maxbinned_coassembly.fa.041	23	6	UID3887	k__Bacteria;p__Proteobacteria	c__Betaproteobacteria	68.2089019485	1.641708	2374	0.886801428756	11	1487	52.9168756968	10.6289315811	4.28018535171	1.57586972717	4025.22864829	1428.68298094
maxbinned_coassembly.fa.042	36	4	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi	53.5271327924	1.574239	1621	0.925651695835	11	8	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
maxbinned_coassembly.fa.043	6	0	UID3235	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae	g__Desulfotalea;s__Desulfotalea_psychrophila	60.0249026772	1.872891	1822	0.869894724253	11	5	54.111367786	6.61115303754	4.4153048	0.796783927483	3887.4	661.542621454
maxbinned_coassembly.fa.044	30	11	UID3061	k__Bacteria;p__Proteobacteria	g__Hippea	40.3957692919	1.459992	1632	0.887654863862	11	115	34.943415927	5.4594829941	1.85581446087	0.335223327464	1927.9826087	362.684243616
