Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
bin.1	k__Bacteria (UID2495)	2993	143	89	24	119	0	0	0	0	76.22	0.00	0.00
bin.10	k__Bacteria (UID2570)	433	273	183	9	262	2	0	0	0	95.36	0.82	0.00
bin.100	o__Rhizobiales (UID3654)	92	481	319	355	122	4	0	0	0	25.64	1.25	0.00
bin.101	k__Bacteria (UID3060)	138	338	246	119	218	1	0	0	0	57.93	0.41	0.00
bin.102	k__Bacteria (UID203)	5449	103	57	88	15	0	0	0	0	11.16	0.00	0.00
bin.103	k__Bacteria (UID1453)	901	171	117	76	92	3	0	0	0	49.88	2.56	0.00
bin.104	c__Deltaproteobacteria (UID3217)	62	280	168	99	172	9	0	0	0	77.08	3.90	33.33
bin.105	k__Bacteria (UID3187)	2258	188	117	12	166	9	1	0	0	90.60	3.84	25.00
bin.106	k__Bacteria (UID2570)	433	273	183	4	267	2	0	0	0	97.81	0.82	0.00
bin.107	k__Bacteria (UID2495)	2993	147	91	22	125	0	0	0	0	93.41	0.00	0.00
bin.108	k__Archaea (UID2)	207	149	107	142	7	0	0	0	0	5.14	0.00	0.00
bin.109	c__Betaproteobacteria (UID3971)	223	425	211	240	176	8	0	0	1	44.52	2.85	0.00
bin.11	k__Bacteria (UID203)	5449	103	57	3	19	69	10	2	0	97.93	99.22	82.88
bin.110	k__Bacteria (UID203)	5449	104	58	79	21	4	0	0	0	26.44	6.90	0.00
bin.111	k__Bacteria (UID2495)	2993	143	89	4	136	3	0	0	0	96.07	2.81	0.00
bin.112	o__Clostridiales (UID1212)	172	263	149	102	157	4	0	0	0	71.85	2.01	50.00
bin.113	k__Bacteria (UID203)	5449	104	58	0	4	86	9	5	0	100.00	101.49	33.57
bin.114	k__Bacteria (UID2570)	433	270	179	9	259	2	0	0	0	96.37	1.12	50.00
bin.115	c__Betaproteobacteria (UID3959)	235	419	211	63	337	19	0	0	0	84.55	4.29	73.68
bin.116	k__Archaea (UID2)	207	149	107	40	106	3	0	0	0	77.80	2.18	66.67
bin.117	k__Bacteria (UID1452)	924	161	108	92	68	1	0	0	0	50.87	0.93	0.00
bin.118	p__Proteobacteria (UID3214)	2231	190	119	104	61	23	2	0	0	42.18	10.62	6.90
bin.119	k__Bacteria (UID1452)	924	163	110	17	139	7	0	0	0	86.82	6.36	28.57
bin.12	k__Bacteria (UID1452)	924	151	101	60	85	6	0	0	0	56.03	4.46	33.33
bin.120	k__Bacteria (UID3187)	2258	188	117	16	161	11	0	0	0	88.72	3.70	0.00
bin.121	k__Bacteria (UID2982)	88	230	148	39	153	34	3	1	0	84.87	19.66	48.98
bin.122	k__Bacteria (UID203)	5449	104	58	65	38	1	0	0	0	59.48	1.72	0.00
bin.123	p__Euryarchaeota (UID3)	148	188	125	55	132	1	0	0	0	89.07	0.80	0.00
bin.124	k__Bacteria (UID2982)	88	230	148	9	218	3	0	0	0	95.23	1.38	0.00
bin.125	p__Euryarchaeota (UID49)	95	228	153	11	200	17	0	0	0	98.51	2.89	82.35
bin.126	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
bin.127	k__Bacteria (UID2570)	433	273	183	45	217	11	0	0	0	86.98	3.31	9.09
bin.128	k__Archaea (UID2)	207	145	103	19	123	3	0	0	0	86.82	2.91	66.67
bin.129	k__Bacteria (UID1452)	924	151	101	35	116	0	0	0	0	70.26	0.00	0.00
bin.13	k__Bacteria (UID1452)	924	161	108	36	121	4	0	0	0	69.91	3.24	75.00
bin.130	c__Deltaproteobacteria (UID3216)	83	247	155	14	226	7	0	0	0	93.12	2.82	57.14
bin.131	k__Bacteria (UID203)	5449	104	58	16	39	38	8	3	0	92.76	66.50	53.75
bin.132	k__Bacteria (UID1452)	924	151	101	35	114	2	0	0	0	69.31	1.49	100.00
