Bin Id	# unique markers (of 43)	# multi-copy	Insertion branch UID	Taxonomy (contained)	Taxonomy (sister lineage)	GC	Genome size (Mbp)	Gene count	Coding density	Translation table	# descendant genomes	Lineage: GC mean	Lineage: GC std	Lineage: genome size (Mbp) mean	Lineage: genome size (Mbp) std	Lineage: gene count mean	Lineage: gene count std
bin.1	38	0	UID2496	k__Bacteria;p__Spirochaetes;c__Spirochaetia	p__Elusimicrobia;c__Candidatus_Endomicrobium;o__Candidatus_Endomicrobium;f__Candidatus_Endomicrobium;g__Candidatus_Endomicrobium;s__	52.7385113619	0.720081	748	0.899864043073	11	72	38.9697421605	10.3693638763	2.60865927778	1.034157916	2440.63888889	952.666641963
bin.10	42	0	UID2571	k__Bacteria	p__Ignavibacteriae;c__Ignavibacteria;o__Ignavibacteriales	43.2254339906	3.209689	2669	0.909390286722	11	14	49.3214646142	6.40690458662	2.7543095	0.465463349511	2529.92857143	379.490723449
bin.100	12	0	UID3666	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae	unresolved	65.5190813626	1.311856	1634	0.854844586601	11	3	60.6364549837	2.63257008861	4.27582633333	0.130364524015	3861.0	85.6776906007
bin.101	41	0	UID3061	k__Bacteria;p__Proteobacteria	c__Epsilonproteobacteria	40.3463995286	1.060625	1067	0.897350147319	11	115	34.943415927	5.4594829941	1.85581446087	0.335223327464	1927.9826087	362.684243616
bin.102	8	0	UID3195	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae	g__Candidatus_Nitrospira;s__Candidatus_Nitrospira_defluvii	57.832999729	0.343221	391	0.899210712631	11	4	40.4354512169	10.734191293	2.5603085	1.01636770309	2628.5	976.721429068
bin.103	26	0	UID2142	k__Bacteria	p__Deinococcus-Thermus;c__Deinococci	45.9406613237	0.471025	598	0.898491587495	11	169	50.1629813722	12.0228236511	4.39149491716	1.99838199454	4148.5443787	1625.20651017
bin.104	17	0	UID3235	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae	g__Desulfotalea;s__Desulfotalea_psychrophila	60.2009888843	3.069722	3017	0.87092186198	11	5	54.111367786	6.61115303754	4.4153048	0.796783927483	3887.4	661.542621454
bin.105	39	3	UID3198	k__Bacteria	p__Acidobacteria	64.1980912971	3.980609	3752	0.942144531151	11	17	59.2923023901	3.01115477033	5.48641088235	1.58822161948	4711.64705882	1221.85750306
bin.106	42	0	UID2571	k__Bacteria	p__Ignavibacteriae;c__Ignavibacteria;o__Ignavibacteriales	45.969775498	3.895912	3186	0.917768933179	11	14	49.3214646142	6.40690458662	2.7543095	0.465463349511	2529.92857143	379.490723449
bin.107	28	0	UID2568	k__Bacteria	unresolved	55.4521248691	2.525685	2171	0.906463395079	11	436	42.2081506989	6.715633826	4.14457510321	1.51517226679	3609.14908257	1218.06297885
bin.108	1	0	UID59	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__Methanosaeta	s__Methanosaeta_concilii	47.3945647079	1.085903	1342	0.815980801232	11	2	52.2665447155	1.27873478072	2.453058	0.573587	2342.5	557.5
