Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
bin.1	Bacteria	5449	104	58	13	91	0	0	0	0	80.46	0.00	0.00
bin.10	Bacteria	5449	104	58	1	103	0	0	0	0	98.28	0.00	0.00
bin.100	Bacteria	5449	104	58	80	24	0	0	0	0	20.39	0.00	0.00
bin.101	Bacteria	5449	104	58	5	99	0	0	0	0	91.38	0.00	0.00
bin.102	Bacteria	5449	104	58	88	16	0	0	0	0	12.70	0.00	0.00
bin.103	Bacteria	5449	104	58	35	69	0	0	0	0	63.95	0.00	0.00
bin.104	Bacteria	5449	104	58	53	49	2	0	0	0	58.93	3.45	100.00
bin.105	Bacteria	5449	104	58	2	96	6	0	0	0	96.55	1.65	33.33
bin.106	Bacteria	5449	104	58	0	104	0	0	0	0	100.00	0.00	0.00
bin.107	Bacteria	5449	104	58	20	84	0	0	0	0	89.66	0.00	0.00
bin.108	Bacteria	5449	104	58	101	3	0	0	0	0	5.17	0.00	0.00
bin.109	Bacteria	5449	104	58	59	41	4	0	0	0	40.22	3.76	0.00
bin.11	Bacteria	5449	104	58	4	19	69	10	2	0	96.24	97.51	82.88
bin.110	Bacteria	5449	104	58	79	21	4	0	0	0	26.44	6.90	0.00
bin.111	Bacteria	5449	104	58	4	100	0	0	0	0	93.97	0.00	0.00
bin.112	Bacteria	5449	104	58	55	49	0	0	0	0	68.10	0.00	0.00
bin.113	Bacteria	5449	104	58	0	4	86	9	5	0	100.00	101.49	33.57
bin.114	Bacteria	5449	104	58	3	99	2	0	0	0	96.55	3.45	50.00
bin.115	Bacteria	5449	104	58	19	80	5	0	0	0	88.24	6.90	100.00
bin.116	Bacteria	5449	104	58	63	39	2	0	0	0	26.77	0.31	50.00
bin.117	Bacteria	5449	104	58	61	43	0	0	0	0	53.21	0.00	0.00
bin.118	Bacteria	5449	104	58	51	35	16	2	0	0	49.19	14.36	0.00
bin.119	Bacteria	5449	104	58	3	100	1	0	0	0	94.83	1.72	100.00
bin.12	Bacteria	5449	104	58	31	69	4	0	0	0	67.35	5.17	25.00
bin.120	Bacteria	5449	104	58	5	90	9	0	0	0	93.10	9.48	0.00
bin.121	Bacteria	5449	104	58	19	67	16	2	0	0	87.77	17.35	72.73
bin.122	Bacteria	5449	104	58	65	38	1	0	0	0	59.48	1.72	0.00
bin.123	Bacteria	5449	104	58	78	25	0	1	0	0	28.70	1.72	0.00
bin.124	Bacteria	5449	104	58	3	101	0	0	0	0	95.69	0.00	0.00
bin.125	Bacteria	5449	104	58	55	36	12	1	0	0	32.57	4.31	60.00
bin.126	Bacteria	5449	104	58	104	0	0	0	0	0	0.00	0.00	0.00
bin.127	Bacteria	5449	104	58	16	84	4	0	0	0	89.28	0.63	0.00
bin.128	Bacteria	5449	104	58	51	51	2	0	0	0	29.01	0.31	50.00
bin.129	Bacteria	5449	104	58	10	94	0	0	0	0	83.91	0.00	0.00
bin.13	Bacteria	5449	104	58	8	92	4	0	0	0	86.21	6.03	75.00
bin.130	Bacteria	5449	104	58	3	98	3	0	0	0	94.83	4.31	33.33
bin.131	Bacteria	5449	104	58	16	39	38	8	3	0	92.76	66.50	53.75
bin.132	Bacteria	5449	104	58	9	94	1	0	0	0	85.34	1.72	100.00
bin.133	Bacteria	5449	104	58	35	63	6	0	0	0	81.05	6.90	50.00
